sent_at_unix_ns,latency_us,status
1775317817750334352,1548,ok
1775317817751792270,1946,ok
1775317817753805859,1771,ok
1775317817756656273,3150,ok
1775317817759804966,1872,ok
1775317817757749119,4131,ok
1775317817761660231,2114,ok
1775317817765918206,2047,ok
1775317817770116783,2681,ok
1775317817778950534,2104,ok
1775317817782133644,1468,ok
1775317817783214309,1626,ok
1775317817784675992,3356,ok
1775317817787990518,2114,ok
1775317817789161956,1883,ok
1775317817791045651,1643,ok
1775317817792780516,1522,ok
1775317817792125648,3399,ok
1775317817795388621,1617,ok
1775317817796599417,1558,ok
1775317817799255001,1538,ok
1775317817798086971,4703,ok
1775317817800779855,2869,ok
1775317817802775272,2940,ok
1775317817803635177,4086,ok
1775317817806797278,1565,ok
1775317817813504682,2760,ok
1775317817814595008,1740,ok
1775317817817410692,2799,ok
1775317817819349314,3264,ok
1775317817822361406,1656,ok
1775317817822610148,4346,ok
1775317817830184974,2026,ok
1775317817829100507,3199,ok
1775317817836421690,1558,ok
1775317817837972007,3588,ok
1775317817839057783,4587,ok
1775317817842632176,2210,ok
1775317817843659133,1588,ok
1775317817843641615,1729,ok
1775317817841217800,4287,ok
1775317817844934056,2239,ok
1775317817846573118,2485,ok
1775317817847174933,3523,ok
1775317817844735507,9298,ok
1775317817857265067,3188,ok
1775317817858309794,2190,ok
1775317817857184283,3656,ok
1775317817863001517,1579,ok
1775317817861918530,4105,ok
1775317817868170348,5005,ok
1775317817869258862,5046,ok
1775317817871419800,3886,ok
1775317817879513518,3757,ok
1775317817882669723,4278,ok
1775317817884349126,4576,ok
1775317817885443746,4574,ok
1775317817888926903,2113,ok
1775317817890020880,3803,ok
1775317817894969001,4767,ok
1775317817898125159,3357,ok
1775317817899720871,2478,ok
1775317817905436115,1622,ok
1775317817904342861,2940,ok
1775317817906528537,3085,ok
1775317817909478020,3291,ok
1775317817908392287,4435,ok
1775317817913904795,2229,ok
1775317817918279284,2606,ok
1775317817919367713,1692,ok
1775317817920884905,1663,ok
1775317817922158362,2439,ok
1775317817924599828,1364,ok
1775317817927042462,1965,ok
1775317817928995202,2365,ok
1775317817930088570,2402,ok
1775317817931179054,2560,ok
1775317817933566408,3034,ok
1775317817932476532,4398,ok
1775317817934863546,3159,ok
1775317817935948337,2970,ok
1775317817941062802,1417,ok
1775317817943556149,1326,ok
1775317817942467770,3563,ok
1775317817944880106,1987,ok
1775317817945973757,2686,ok
1775317817949741713,1708,ok
1775317817948663090,3217,ok
1775317817954028655,2684,ok
1775317817955116657,2894,ok
1775317817957788189,3540,ok
1775317817960179479,2195,ok
1775317817961288614,2479,ok
1775317817965911366,1800,ok
1775317817967004750,2022,ok
1775317817967711001,3327,ok
1775317817968795755,3956,ok
1775317817972135262,2054,ok
1775317817971026944,3514,ok
1775317817975618830,1664,ok
1775317817973822673,3890,ok
1775317817978786646,2022,ok
1775317817982978533,2090,ok
1775317817981886459,5685,ok
1775317817986174169,3392,ok
1775317817990638250,1536,ok
1775317817992173300,2356,ok
1775317817995625362,2352,ok
1775317817996715847,2342,ok
1775317817997810064,3417,ok
1775317818002366778,1606,ok
1775317818000137565,3837,ok
1775317818002305636,3440,ok
1775317818007938623,2452,ok
1775317818006850949,3648,ok
